Freq.	-V(n002)/I(R3)
1.76603782068614e+003	(1.36169224144517e+002dB,-5.21022773027938e+001°)
1.77010895831740e+003	(1.36156817256326e+002dB,-5.21668217435200e+001°)
1.77418948089014e+003	(1.36144388601239e+002dB,-5.22313318856139e+001°)
1.77827941003890e+003	(1.36131938203033e+002dB,-5.22958074316923e+001°)
1.78237876744807e+003	(1.36119466085674e+002dB,-5.23602480852591e+001°)
1.78648757485203e+003	(1.36106972273312e+002dB,-5.24246535507083e+001°)
1.79060585403527e+003	(1.36094456790286e+002dB,-5.24890235333303e+001°)
1.79473362683250e+003	(1.36081919661118e+002dB,-5.25533577393205e+001°)
1.79887091512876e+003	(1.36069360910515e+002dB,-5.26176558757843e+001°)
1.80301774085954e+003	(1.36056780563366e+002dB,-5.26819176507386e+001°)
1.80717412601090e+003	(1.36044178644744e+002dB,-5.27461427731281e+001°)
1.81134009261958e+003	(1.36031555179901e+002dB,-5.28103309528178e+001°)
1.81551566277311e+003	(1.36018910194269e+002dB,-5.28744819006108e+001°)
1.81970085860996e+003	(1.36006243713461e+002dB,-5.29385953282482e+001°)
1.82389570231961e+003	(1.35993555763267e+002dB,-5.30026709484119e+001°)
1.82810021614272e+003	(1.35980846369655e+002dB,-5.30667084747387e+001°)
1.83231442237119e+003	(1.35968115558766e+002dB,-5.31307076218178e+001°)
1.83653834334832e+003	(1.35955363356920e+002dB,-5.31946681052010e+001°)
1.84077200146893e+003	(1.35942589790609e+002dB,-5.32585896414062e+001°)
1.84501541917945e+003	(1.35929794886499e+002dB,-5.33224719479235e+001°)
1.84926861897805e+003	(1.35916978671428e+002dB,-5.33863147432216e+001°)
1.85353162341478e+003	(1.35904141172403e+002dB,-5.34501177467501e+001°)
1.85780445509167e+003	(1.35891282416603e+002dB,-5.35138806789466e+001°)
1.86208713666284e+003	(1.35878402431377e+002dB,-5.35776032612445e+001°)
1.86637969083464e+003	(1.35865501244239e+002dB,-5.36412852160743e+001°)
1.87068214036577e+003	(1.35852578882872e+002dB,-5.37049262668675e+001°)
1.87499450806739e+003	(1.35839635375124e+002dB,-5.37685261380685e+001°)
1.87931681680324e+003	(1.35826670749007e+002dB,-5.38320845551317e+001°)
1.88364908948977e+003	(1.35813685032699e+002dB,-5.38956012445333e+001°)
1.88799134909627e+003	(1.35800678254538e+002dB,-5.39590759337680e+001°)
1.89234361864495e+003	(1.35787650443026e+002dB,-5.40225083513648e+001°)
1.89670592121112e+003	(1.35774601626824e+002dB,-5.40858982268791e+001°)
1.90107827992327e+003	(1.35761531834752e+002dB,-5.41492452909103e+001°)
1.90546071796322e+003	(1.35748441095790e+002dB,-5.42125492750942e+001°)
1.90985325856621e+003	(1.35735329439074e+002dB,-5.42758099121189e+001°)
1.91425592502106e+003	(1.35722196893897e+002dB,-5.43390269357199e+001°)
1.91866874067026e+003	(1.35709043489707e+002dB,-5.44022000806898e+001°)
1.92309172891013e+003	(1.35695869256105e+002dB,-5.44653290828831e+001°)
1.92752491319091e+003	(1.35682674222846e+002dB,-5.45284136792158e+001°)
1.93196831701689e+003	(1.35669458419838e+002dB,-5.45914536076770e+001°)
1.93642196394658e+003	(1.35656221877136e+002dB,-5.46544486073249e+001°)
1.94088587759275e+003	(1.35642964624948e+002dB,-5.47173984182982e+001°)
1.94536008162263e+003	(1.35629686693630e+002dB,-5.47803027818160e+001°)
1.94984459975802e+003	(1.35616388113685e+002dB,-5.48431614401815e+001°)
1.95433945577536e+003	(1.35603068915762e+002dB,-5.49059741367927e+001°)
1.95884467350596e+003	(1.35589729130655e+002dB,-5.49687406161359e+001°)
1.96336027683602e+003	(1.35576368789304e+002dB,-5.50314606237969e+001°)
1.96788628970681e+003	(1.35562987922789e+002dB,-5.50941339064642e+001°)
1.97242273611482e+003	(1.35549586562335e+002dB,-5.51567602119289e+001°)
1.97696964011183e+003	(1.35536164739305e+002dB,-5.52193392890951e+001°)
1.98152702580507e+003	(1.35522722485203e+002dB,-5.52818708879760e+001°)
1.98609491735734e+003	(1.35509259831672e+002dB,-5.53443547597022e+001°)
1.99067333898715e+003	(1.35495776810491e+002dB,-5.54067906565245e+001°)
1.99526231496885e+003	(1.35482273453577e+002dB,-5.54691783318177e+001°)
1.99986186963271e+003	(1.35468749792980e+002dB,-5.55315175400837e+001°)
2.00447202736513e+003	(1.35455205860885e+002dB,-5.55938080369513e+001°)
2.00909281260870e+003	(1.35441641689609e+002dB,-5.56560495791873e+001°)
2.01372424986236e+003	(1.35428057311604e+002dB,-5.57182419246945e+001°)
2.01836636368153e+003	(1.35414452759448e+002dB,-5.57803848325126e+001°)
2.02301917867824e+003	(1.35400828065851e+002dB,-5.58424780628294e+001°)
2.02768271952125e+003	(1.35387183263651e+002dB,-5.59045213769747e+001°)
2.03235701093619e+003	(1.35373518385812e+002dB,-5.59665145374308e+001°)
2.03704207770568e+003	(1.35359833465426e+002dB,-5.60284573078331e+001°)
2.04173794466950e+003	(1.35346128535707e+002dB,-5.60903494529685e+001°)
2.04644463672464e+003	(1.35332403629996e+002dB,-5.61521907387854e+001°)
2.05116217882553e+003	(1.35318658781754e+002dB,-5.62139809323938e+001°)
2.05589059598411e+003	(1.35304894024564e+002dB,-5.62757198020665e+001°)
2.06062991326997e+003	(1.35291109392131e+002dB,-5.63374071172420e+001°)
2.06538015581049e+003	(1.35277304918275e+002dB,-5.63990426485289e+001°)
2.07014134879101e+003	(1.35263480636939e+002dB,-5.64606261677086e+001°)
2.07491351745487e+003	(1.35249636582178e+002dB,-5.65221574477379e+001°)
2.07969668710366e+003	(1.35235772788166e+002dB,-5.65836362627461e+001°)
2.08449088309725e+003	(1.35221889289191e+002dB,-5.66450623880480e+001°)
2.08929613085400e+003	(1.35207986119652e+002dB,-5.67064356001342e+001°)
2.09411245585086e+003	(1.35194063314062e+002dB,-5.67677556766841e+001°)
2.09893988362349e+003	(1.35180120907046e+002dB,-5.68290223965614e+001°)
2.10377843976644e+003	(1.35166158933337e+002dB,-5.68902355398192e+001°)
2.10862814993325e+003	(1.35152177427776e+002dB,-5.69513948876990e+001°)
2.11348903983661e+003	(1.35138176425314e+002dB,-5.70125002226395e+001°)
2.11836113524846e+003	(1.35124155961006e+002dB,-5.70735513282704e+001°)
2.12324446200018e+003	(1.35110116070015e+002dB,-5.71345479894214e+001°)
2.12813904598267e+003	(1.35096056787605e+002dB,-5.71954899921171e+001°)
2.13304491314654e+003	(1.35081978149145e+002dB,-5.72563771235865e+001°)
2.13796208950219e+003	(1.35067880190104e+002dB,-5.73172091722603e+001°)
2.14289060112002e+003	(1.35053762946053e+002dB,-5.73779859277726e+001°)
2.14783047413050e+003	(1.35039626452662e+002dB,-5.74387071809623e+001°)
2.15278173472433e+003	(1.35025470745699e+002dB,-5.74993727238801e+001°)
2.15774440915263e+003	(1.35011295861030e+002dB,-5.75599823497815e+001°)
2.16271852372698e+003	(1.34997101834615e+002dB,-5.76205358531369e+001°)
2.16770410481966e+003	(1.34982888702510e+002dB,-5.76810330296249e+001°)
2.17270117886370e+003	(1.34968656500866e+002dB,-5.77414736761411e+001°)
2.17770977235312e+003	(1.34954405265924e+002dB,-5.78018575907947e+001°)
2.18272991184296e+003	(1.34940135034017e+002dB,-5.78621845729121e+001°)
2.18776162394951e+003	(1.34925845841570e+002dB,-5.79224544230373e+001°)
2.19280493535041e+003	(1.34911537725094e+002dB,-5.79826669429333e+001°)
2.19785987278478e+003	(1.34897210721191e+002dB,-5.80428219355827e+001°)
2.20292646305342e+003	(1.34882864866547e+002dB,-5.81029192051905e+001°)
2.20800473301886e+003	(1.34868500197935e+002dB,-5.81629585571839e+001°)
2.21309470960560e+003	(1.34854116752212e+002dB,-5.82229397982115e+001°)
2.21819641980018e+003	(1.34839714566319e+002dB,-5.82828627361500e+001°)
2.22330989065136e+003	(1.34825293677277e+002dB,-5.83427271800974e+001°)
2.22843514927026e+003	(1.34810854122192e+002dB,-5.84025329403809e+001°)
2.23357222283049e+003	(1.34796395938245e+002dB,-5.84622798285545e+001°)
2.23872113856830e+003	(1.34781919162700e+002dB,-5.85219676573960e+001°)
2.24388192378272e+003	(1.34767423832895e+002dB,-5.85815962409160e+001°)
2.24905460583574e+003	(1.34752909986246e+002dB,-5.86411653943526e+001°)
2.25423921215239e+003	(1.34738377660246e+002dB,-5.87006749341742e+001°)
2.25943577022093e+003	(1.34723826892458e+002dB,-5.87601246780781e+001°)
2.26464430759302e+003	(1.34709257720523e+002dB,-5.88195144449925e+001°)
